code,name,network_id,network_region,description,npi_id,location,units,created_at,updated_at
ADP,Adelaide Desalination,NEM,SA1,"<p>The Adelaide Desalination plant (ADP), formerly known as the Port Stanvac Desalination Plant, is a sea water reverse osmosis desalination plant located in Lonsdale, South Australia which has the capacity to provide the city of Adelaide with up to 50% of its drinking water needs.</p>",,lat=-35.096948 lng=138.484061,"[FacilityUnit(code='ADPPV1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=24.75, capacity_maximum=19.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2021, 5, 18, 13, 10, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 19, 50, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 30, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 16, 23, 52, 12, tzinfo=TzInfo(0))), FacilityUnit(code='ADPPV2', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=0.2, capacity_maximum=0.2, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 30, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 16, 23, 50, 10, tzinfo=TzInfo(0))), FacilityUnit(code='ADPPV3', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=0.02, capacity_maximum=0.02, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 30, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 16, 23, 51, 11, tzinfo=TzInfo(0)))]",2023-10-18 04:34:30+00:00,2025-08-05 06:08:12+00:00
ALDGASF,Aldoga,NEM,QLD1,"<p>The Aldoga Solar Farm will be approximately 380MW. This solar photovoltaic (PV) facility is located approximately 20 km north-west of Gladstone on the central Queensland coast.</p><p>The Aldoga Solar Farm will deliver a flagship renewable energy project on Economic Development Queensland (EDQ) land as part of the Queensland Government’s <em>'Advancing our cities and regions strategy’</em>, which aims to renew and repurpose underutilised state land to generate jobs and drive economic growth.</p>",,lat=-23.839544 lng=151.0849,"[FacilityUnit(code='ALDGASF1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=535.21, capacity_maximum=387.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2025, 3, 21, 15, 5, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 18, 30, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2025, 1, 31, 4, 28, 9, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 1, 3, 43, 29, tzinfo=TzInfo(0)))]",2025-01-31 04:19:33+00:00,2025-03-25 00:52:44+00:00
AVLSF,Avonlie,NEM,NSW1,"<p>The Avonlie Solar Farm will be a large-scale solar farm in Narrandera, New South Wales. The project will comprise more than 450,000 solar panels with a total energy capacity of up to roughly 245MW(DC).</p>",,lat=-34.919115 lng=146.60954,"[FacilityUnit(code='AVLSF1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=254.1, capacity_maximum=190.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2023, 3, 28, 14, 25, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 19, 0, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 32, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 16, 23, 58, 7, tzinfo=TzInfo(0)))]",2023-10-18 04:34:32+00:00,2025-07-08 02:56:03+00:00
BAKING,Baking Board,NEM,QLD1,"<p>The Impact Investment Group’s Chinchilla Solar Farm is located approximately 7 km northwest of Chinchilla in the Western Downs shire of southeast Queensland. Located on 73 ha of land it has approximately 61,000 panels mounted on a single axis tracking system.</p>",,lat=-26.721166 lng=150.55417,"[FacilityUnit(code='BAKING1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=17.5, capacity_maximum=14.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=None, data_last_seen=None, dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 33, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 9, 9, 5, 0, 7, tzinfo=TzInfo(0)))]",2023-10-18 04:34:33+00:00,2025-08-05 06:38:31+00:00
BANNSP,Bannerton,NEM,VIC1,"<p>The Bannerton Solar Park is a solar power station in the locality of Bannerton southeast of Robinvale in the Sunraysia district of Victoria. It generates up to 88MW of electricity to the National Electricity Market (NEM).<br/>Bannerton Solar Park is the second solar farm to be funded by the Clean Energy Finance Corporation (after the Gannawarra Solar Farm). It uses 320,000 solar panels to generate 110MWDC/88MWAC of electricity. It has offtake agreements with Alinta Energy and Yarra Trams.CIMIC Group company UGL Limited designed and built the solar farm, including  single axis tracking system, substation and connection to the Powercor Australia grid. It is built on land unsuitable for Almond orchards.Bannerton is near the edge of the Victorian electricity grid. The Solar Farm exports electricity at 66kV into the distribution network to support the local grid in responding to the load imposed from irrigation in summer.</p>",,lat=-34.67263 lng=142.750362,"[FacilityUnit(code='BANN1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=100.0, capacity_maximum=88.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2018, 7, 20, 14, 40, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 19, 25, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 33, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 2, 3, 55, tzinfo=TzInfo(0)))]",2023-10-18 04:34:33+00:00,2025-07-08 05:17:18+00:00
BARCSF,Barcaldine,NEM,QLD1,"<p>The Barcaldine Solar Farm is a solar farm located five kilometres east of the town of Barcaldine in Central Queensland, Australia. The power station is owned by Elecnor and is situated on a 90 hectare site. It will use single-axis tracking technology. The power station can generate 20 megawatts AC. It consists of 78,000 panels.<br/><br/>Power was supplied to the grid in December 2016. It was Queensland&#x27;s first large scale solar farm.</p>",,lat=-23.547333 lng=145.318972,"[FacilityUnit(code='BARCSF1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=20.0, capacity_maximum=20.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2016, 12, 21, 15, 55, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 20, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 33, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 17, 0, 34, tzinfo=TzInfo(0)))]",2023-10-18 04:34:33+00:00,2025-07-08 06:03:12+00:00
BERYLSF,Beryl,NEM,NSW1,"<p>Located on Wiradjuri Country in the Central West of NSW, approximately 5 kilometres west of Gulgong, Beryl Solar Farm supplies clean, green energy to power the Sydney Metro Northwest Rail Link.</p>",,lat=-32.347501 lng=149.460738,"[FacilityUnit(code='BERYLSF1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=98.0, capacity_maximum=87.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2019, 4, 23, 9, 55, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 12, 6, 30, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 35, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 2, 8, 10, tzinfo=TzInfo(0)))]",2023-10-18 04:34:35+00:00,2025-07-08 04:50:22+00:00
BLUEGSF,Blue Grass,NEM,QLD1,"<p>The Blue Grass solar farm in Queensland, Australia, is being developed by Spanish renewable energy producer X-ELIO. The 200MW solar facility will produce 420GWh of green electricity a year, sufficient to power approximately 80,000 Queensland homes, once fully operational in the fourth quarter of 2021.</p>",,lat=-26.691708 lng=150.500037,ope,2023-10-18 04:34:36+00:00,2025-07-08 04:23:36+00:00
BOLIVAR,Bolivar,NEM,SA1,<p>Iberdrola Australia has agreed to lease 120 MW of aero-derivative gas turbine equipment from the South Australian Government for a period of 25 years.</p><p>The equipment includes four independent 30 MW dual fuel units and related balance of plant. The generators can start in less than ten minutes and enable Iberdrola Australia to manage the intermittency risks associated with its large and growing fleet of renewable energy assets.</p>,,lat=-34.495482 lng=138.387641,"[FacilityUnit(code='BOWWPV1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=8.25, capacity_maximum=6.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2022, 2, 23, 10, 55, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 15, 45, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 38, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2024, 12, 17, 4, 28, 3, tzinfo=TzInfo(0)))]",2023-10-18 04:34:38+00:00,2024-10-30 03:30:25+00:00
BOMENSF,Bomen,NEM,NSW1,"<p>Located 10 km north-east of Wagga Wagga city centre on Wiradjuri land, in the Wagga Wagga Special Activation Precinct, Bomen Solar Farm is a 100 MW solar farm and battery built by Australian developer Spark Renewables.</p>",,lat=-35.0486 lng=147.4439,"[FacilityUnit(code='BOMENSF1', fueltech_id=<UnitFueltechType.SOLAR_UTILITY: 'solar_utility'>, status_id=<UnitStatusType.OPERATING: 'operating'>, capacity_registered=121.0, capacity_maximum=100.0, capacity_storage=None, emissions_factor_co2=None, data_first_seen=datetime.datetime(2020, 3, 17, 7, 55, tzinfo=TzInfo(36000)), data_last_seen=datetime.datetime(2025, 11, 30, 19, 5, tzinfo=TzInfo(36000)), dispatch_type='GENERATOR', commencement_date=None, commencement_date_specificity=None, commencement_date_display=None, closure_date=None, closure_date_specificity=None, closure_date_display=None, expected_operation_date=None, expected_operation_date_specificity=None, expected_operation_date_display=None, expected_closure_date=None, expected_closure_date_specificity=None, expected_closure_date_display=None, construction_start_date=None, construction_start_date_specificity=None, construction_start_date_display=None, project_approval_date=None, project_approval_date_specificity=None, project_approval_date_display=None, project_lodgement_date=None, created_at=datetime.datetime(2023, 10, 18, 4, 34, 38, tzinfo=TzInfo(0)), updated_at=datetime.datetime(2025, 5, 8, 0, 32, 12, tzinfo=TzInfo(0)))]",2023-10-18 04:34:38+00:00,2025-07-08 04:41:32+00:00
